Area,mnemonic,2016,2017,2018,2019,2020,2021,2022
ualad19:Forest of Dean,E07000080,85135,85557,86133,86274,86454,87114,87937
ualad19:Gloucester,E07000081,129716,130898,131320,131776,132112,132564,133522
ualad19:Stroud,E07000082,117213,117613,118172,118832,119511,121493,123205
ualad19:Tewkesbury,E07000083,87065,88801,90614,92703,93747,95400,97000
ualad19:Mendip,E07000187,113196,113521,114434,114920,115262,116226,116728
ualad19:Sedgemoor,E07000188,122193,122987,123426,123800,123997,125742,126627
ualad19:South Somerset,E07000189,167745,168861,169303,170063,170696,173197,174238
ualad19:Somerset West and Taunton,E07000246,151672,153526,154996,156204,156355,157935,159259
ualad19:Isle of Anglesey,W06000001,68826,68617,68539,68278,68794,68937,69049
ualad19:Gwynedd,W06000002,118958,118881,118129,117584,118180,117072,117591
ualad19:Conwy,W06000003,115391,114855,114387,114196,114651,114788,114290
ualad19:Denbighshire,W06000004,94723,94597,94596,94766,95558,96047,96558
ualad19:Flintshire,W06000005,154166,154587,154587,154592,155004,155045,155319
ualad19:Wrexham,W06000006,135354,135619,136244,135899,135980,135152,135394
ualad19:Powys,W06000023,132531,132460,131967,131556,132199,133521,133891
ualad19:Ceredigion,W06000008,72900,72220,71291,70639,71421,70676,71610
ualad19:Pembrokeshire,W06000009,121438,121382,121194,121432,122572,123633,124367
ualad19:Carmarthenshire,W06000010,184985,184984,185444,186125,187391,188172,189117
ualad19:Swansea,W06000011,239300,239266,239184,238707,238992,237897,241282
ualad19:Neath Port Talbot,W06000012,141000,141022,141342,141385,142308,141934,142158
ualad19:Bridgend,W06000013,142887,143355,143583,144500,145434,145738,146136
ualad19:Vale of Glamorgan,W06000014,127082,128377,129165,129802,131224,132491,133492
ualad19:Cardiff,W06000015,352982,354348,355125,357137,360287,359824,372089
ualad19:Rhondda Cynon Taff,W06000016,235567,236357,236685,237574,238039,237545,239018
ualad19:Merthyr Tydfil,W06000024,59247,59337,59349,59255,59194,58869,58883
ualad19:Caerphilly,W06000018,178013,177610,177277,176735,176805,175999,176130
ualad19:Blaenau Gwent,W06000019,68135,67829,67566,67382,67219,66989,67014
ualad19:Torfaen,W06000020,90730,90638,91130,91685,92337,92454,92860
ualad19:Monmouthshire,W06000021,92024,91791,91834,91730,92456,93163,93886
ualad19:Newport,W06000022,150926,153234,155222,156773,158438,159687,161506
ualad19:Aberdeen City,S12000033,229840,228800,227560,228670,229060,227430,-
ualad19:Aberdeenshire,S12000034,262190,261800,261470,261210,260780,262690,-
ualad19:Angus,S12000041,116520,116280,116040,116200,115820,116120,-
ualad19:Argyll and Bute,S12000035,87130,86810,86260,85870,85430,86220,-
ualad19:Clackmannanshire,S12000005,51350,51450,51400,51540,51290,51540,-
ualad19:Dumfries and Galloway,S12000006,149520,149200,148790,148860,148290,148790,-
ualad19:Dundee City,S12000042,148270,148710,148750,149320,148820,147720,-
ualad19:East Ayrshire,S12000008,122200,121940,121840,122010,121600,122020,-
ualad19:East Dunbartonshire,S12000045,107540,108130,108330,108640,108750,108900,-
ualad19:East Lothian,S12000010,104090,104840,105790,107090,107900,109580,-
ualad19:East Renfrewshire,S12000011,93810,94760,95170,95530,96060,96580,-
ualad19:City of Edinburgh,S12000036,507170,513210,518500,524930,527620,526470,-
ualad19:Na h-Eileanan Siar,S12000013,26900,26950,26830,26720,26500,26640,-
ualad19:Falkirk,S12000014,159380,160130,160340,160890,160560,160700,-
ualad19:Fife,S12000047,370330,371410,371910,373550,374130,374730,-
ualad19:Glasgow City,S12000049,615070,621020,626410,633120,635640,635130,-
ualad19:Highland,S12000017,234770,235180,235540,235830,235430,238060,-
ualad19:Inverclyde,S12000018,79160,78760,78150,77800,77060,76700,-
ualad19:Midlothian,S12000019,88610,90090,91340,92460,93150,94680,-
ualad19:Moray,S12000020,96070,95780,95520,95820,95710,96410,-
ualad19:North Ayrshire,S12000021,135890,135790,135280,134740,134250,134220,-
ualad19:North Lanarkshire,S12000050,339390,339960,340180,341370,341140,341400,-
ualad19:Orkney Islands,S12000023,21850,22000,22190,22270,22400,22540,-
ualad19:Perth and Kinross,S12000048,150680,151100,151290,151950,151910,153810,-
